x,y,z,yaw,velocity,change_flag
70.1322,-28.7377,0.2179,0.3480,11.5476,0
71.3192,-28.2877,0.2601,0.3624,11.6979,0
72.5146,-27.8287,0.3031,0.3735,11.4577,0
73.6767,-27.3868,0.3663,0.3818,11.4739,0
74.8216,-26.9370,0.4064,0.4067,11.1756,0
75.9326,-26.4354,0.4742,0.4427,10.4050,0
76.9836,-25.8866,0.5124,0.4866,10.9739,0
77.9812,-25.2493,0.5617,0.5433,10.1450,0
78.9300,-24.5901,0.5999,0.6069,10.7177,0
79.8163,-23.8967,0.6644,0.6767,9.5950,0
80.6441,-23.1593,0.7246,0.7495,9.4293,0
81.4069,-22.4220,0.8156,0.8282,8.9489,0
82.0792,-21.5992,0.8726,0.9135,9.7243,0
82.6508,-20.7249,0.9037,1.0105,8.7827,0
83.1660,-19.8083,0.9367,1.1253,9.2571,0
83.5424,-18.8306,0.9747,1.2465,8.9106,0
83.8171,-17.7771,1.0413,1.3599,9.7216,0
83.9358,-16.7499,1.0811,1.4458,8.2646,0
84.0511,-15.7019,1.1075,1.5173,9.7255,0
84.0729,-14.4402,1.1382,1.5676,10.2065,0
84.0418,-13.4175,1.1779,1.5823,9.5071,0
84.0044,-12.2676,1.2617,1.6039,9.3667,0
83.9474,-11.1169,1.3112,1.6320,7.8479,0
83.8625,-9.9748,1.3611,1.6576,9.5474,0
83.7699,-8.6982,1.4898,1.6955,9.7037,0
83.5916,-7.6952,1.5312,1.7302,7.2013,0
83.4332,-6.4438,1.6589,1.7750,9.3013,0
83.1635,-5.4114,1.6620,1.8264,8.8448,0
82.8460,-4.3227,1.7300,1.8853,8.3937,0
82.5008,-3.3409,1.7812,1.9523,7.2323,0
81.9962,-2.4581,1.8507,2.0183,6.0891,0
81.4838,-1.4904,1.8874,2.1228,7.6766,0
80.8004,-0.5029,2.0004,2.2697,8.5163,0
80.0037,0.2372,1.9992,2.4164,7.7688,0
79.0791,0.9263,2.0214,2.5767,8.6504,0
77.9922,1.4846,2.0619,2.7406,9.2081,0
77.0140,1.7787,2.0638,2.8632,9.5790,0
75.9853,1.9938,2.0282,2.9722,10.0195,0
74.9108,2.0799,2.0394,3.0446,9.0960,0
73.7706,2.1183,1.9998,3.0984,10.3056,0
72.6344,2.1055,2.0464,3.1357,10.9975,0
71.3646,2.1078,2.0093,3.1356,12.2813,0
70.1130,2.1190,1.9819,3.1317,11.2250,0
69.0961,2.1138,1.9325,3.1329,11.8607,0
68.0902,2.1121,1.9420,3.1380,12.1410,0
67.0389,2.1221,1.9178,-3.1346,11.1655,0
65.9781,2.1018,1.8878,-3.1251,13.1355,0
64.9302,2.0895,1.8497,-3.1209,12.6255,0
63.8556,2.0633,1.8154,-3.1215,12.6388,0
62.7887,2.0226,1.7821,-3.1217,12.7477,0
61.6988,1.9917,1.7812,-3.1217,12.4577,0
60.6154,1.9708,1.7058,-3.1219,13.4247,0
59.5146,1.9513,1.7206,-3.1215,12.8396,0
58.4043,1.9131,1.6649,-3.1181,13.7068,0
57.2735,1.8532,1.6291,-3.1128,13.0806,0
