PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
76,0,0,0,2.05,51.65,0,0,0,0
77,0,0,0,1.99,50.65,0,0,0,0
78,0,0,0,1.93,49.66,0,0,0,0
79,0,0,0,1.87,48.66,0,0,0,0
80,0,0,0,1.81,47.66,0,0,0,0
81,0,0,0,1.8,47.39,0,0,0,0
82,0,0,0,1.9,46.39,0,0,0,0
83,0,0,0,2.03,45.4,0,0,0,0
84,0,0,0,2.2,44.42,0,0,0,0
85,0,0,0,2.42,43.44,0,0,0,0
86,0,0,0,2.67,42.48,0,0,0,0
87,0,0,0,2.98,41.52,0,0,0,0
88,0,0,0,3.33,40.59,0,0,0,0
89,0,0,0,3.73,39.67,0,0,0,0
90,0,0,0,4.18,38.78,0,0,0,0
91,0,0,0,4.68,37.91,0,0,0,0
92,0,0,0,5.24,37.08,0,0,0,0
93,0,0,0,5.84,36.29,0,0,0,0
94,0,0,0,6.5,35.53,0,0,0,0
95,0,0,0,7.2,34.82,0,0,0,0
96,0,0,0,7.94,34.15,0,0,0,0
97,0,0,0,8.72,33.52,0,0,0,0
98,0,0,0,9.54,32.95,0,0,0,0
99,0,0,0,10.39,32.41,0,0,0,0
100,0,0,0,11.26,31.92,0,0,0,0
101,0,0,0,12.15,31.48,0,0,0,0
102,0,0,0,13.07,31.07,0,0,0,0
103,0,0,0,14,30.7,0,0,0,0
104,0,0,0,14.94,30.37,0,0,0,0
105,0,0,0,15.89,30.07,0,0,0,0
106,0,0,0,16.86,29.79,0,0,0,0
107,0,0,0,17.82,29.55,0,0,0,0
108,0,0,0,18.8,29.32,0,0,0,0
109,0,0,0,19.78,29.12,0,0,0,0
110,0,0,0,20.76,28.94,0,0,0,0
111,0,0,0,21.75,28.77,0,0,0,0
112,0,0,0,22.73,28.6,0,0,0,0
113,0,0,0,23.72,28.45,0,0,0,0
114,0,0,0,24.71,28.3,0,0,0,0
115,0,0,0,25.7,28.15,0,0,0,0
116,0,0,0,26.22,28.06,0,0,0,0
117,0,0,0,27.22,28.01,0,0,0,0
118,0,0,0,28.22,27.96,0,0,0,0
119,0,0,0,29.22,27.91,0,0,0,0
120,0,0,0,30.21,27.86,0,0,0,0
121,0,0,0,31.21,27.81,0,0,0,0
122,0,0,0,32.21,27.76,0,0,0,0
123,0,0,0,33.21,27.71,0,0,0,0
124,0,0,0,34.21,27.66,0,0,0,0
125,0,0,0,35.21,27.61,0,0,0,0
126,0,0,0,36.21,27.56,0,0,0,0
127,0,0,0,37.21,27.52,0,0,0,0
128,0,0,0,38.2,27.47,0,0,0,0
129,0,0,0,39.2,27.42,0,0,0,0
130,0,0,0,40.2,27.37,0,0,0,0
131,0,0,0,41.2,27.32,0,0,0,0
132,0,0,0,42.2,27.27,0,0,0,0
133,0,0,0,43.2,27.22,0,0,0,0
134,0,0,0,44.2,27.17,0,0,0,0
135,0,0,0,45.11,27.12,0,0,0,0
136,0,0,0,46.11,27.09,0,0,0,0
137,0,0,0,47.1,26.98,0,0,0,0
138,0,0,0,48.08,26.78,0,0,0,0
139,0,0,0,49.04,26.49,0,0,0,0
140,0,0,0,49.96,26.1,0,0,0,0
141,0,0,0,50.84,25.62,0,0,0,0
142,0,0,0,51.64,25.03,0,0,0,0
143,0,0,0,52.37,24.34,0,0,0,0
144,0,0,0,53,23.57,0,0,0,0
145,0,0,0,53.52,22.71,0,0,0,0
146,0,0,0,53.93,21.8,0,0,0,0
147,0,0,0,54.23,20.85,0,0,0,0
148,0,0,0,54.44,19.87,0,0,0,0
149,0,0,0,54.55,18.87,0,0,0,0
150,0,0,0,54.58,17.87,0,0,0,0
151,0,0,0,54.55,16.88,0,0,0,0
152,0,0,0,54.52,16.53,0,0,0,0
153,0,0,0,1.8,47.39,0,0,0,0
154,0,0,0,1.69,46.4,0,0,0,0
155,0,0,0,1.59,45.4,0,0,0,0
156,0,0,0,1.48,44.41,0,0,0,0
157,0,0,0,1.38,43.41,0,0,0,0
158,0,0,0,1.28,42.42,0,0,0,0
159,0,0,0,1.17,41.42,0,0,0,0
160,0,0,0,1.07,40.43,0,0,0,0
161,0,0,0,0.96,39.43,0,0,0,0
162,0,0,0,0.86,38.44,0,0,0,0
163,0,0,0,0.75,37.44,0,0,0,0
164,0,0,0,0.65,36.45,0,0,0,0
165,0,0,0,0.44,34.46,0,0,0,0
166,0,0,0,0.34,33.47,0,0,0,0
167,0,0,0,0.23,32.47,0,0,0,0
168,0,0,0,0.13,31.48,0,0,0,0
169,0,0,0,0.02,30.48,0,0,0,0
170,0,0,0,-0.08,29.49,0,0,0,0
171,0,0,0,-0.16,28.73,0,0,0,0
172,0,0,0,54.52,16.53,0,0,0,0
173,0,0,0,54.51,15.53,0,0,0,0
174,0,0,0,54.49,14.53,0,0,0,0
175,0,0,0,54.48,13.53,0,0,0,0
176,0,0,0,54.46,12.53,0,0,0,0
177,0,0,0,54.44,11.53,0,0,0,0
178,0,0,0,54.43,10.53,0,0,0,0
179,0,0,0,54.41,9.53,0,0,0,0
180,0,0,0,54.4,8.53,0,0,0,0
181,0,0,0,54.38,7.53,0,0,0,0
182,0,0,0,54.37,6.53,0,0,0,0
183,0,0,0,54.35,5.53,0,0,0,0
184,0,0,0.03,54.31,4.53,0,0,0,0
185,0,0,0.07,54.2,3.54,0,0,0,0
186,0,0,0.12,54,2.56,0,0,0,0
187,0,0,0.17,53.71,1.6,0,0,0,0
188,0,0,0.22,53.32,0.68,0,0,0,0
189,0,0,0.28,52.83,-0.19,0,0,0,0
190,0,0,0.34,52.24,-0.99,0,0,0,0
191,0,0,0.4,51.55,-1.71,0,0,0,0
192,0,0,0.46,50.77,-2.33,0,0,0,0
193,0,0,0.51,49.91,-2.85,0,0,0,0
194,0,0,0.56,49,-3.25,0,0,0,0
195,0,0,0.61,48.04,-3.54,0,0,0,0
196,0,0,0.62,47.78,-3.6,0,0,0,0
197,0,0,0.25,46.88,-3.83,0,0,0,0
198,0,0,0.04,45.91,-3.93,0,0,0,0
199,0,0,0.62,47.78,-3.6,0,0,0,0
200,0,0,0,44.77,-3.91,0,0,0,0
201,0,0,0,43.77,-3.86,0,0,0,0
202,0,0,0,42.77,-3.81,0,0,0,0
203,0,0,0,41.77,-3.76,0,0,0,0
204,0,0,0,40.77,-3.71,0,0,0,0
205,0,0,0,39.77,-3.67,0,0,0,0
206,0,0,0,38.77,-3.62,0,0,0,0
207,0,0,0,37.77,-3.57,0,0,0,0
208,0,0,0,36.78,-3.52,0,0,0,0
209,0,0,0,35.78,-3.47,0,0,0,0
210,0,0,0,34.78,-3.42,0,0,0,0
211,0,0,0,33.78,-3.38,0,0,0,0
212,0,0,0,32.78,-3.33,0,0,0,0
213,0,0,0,31.78,-3.28,0,0,0,0
214,0,0,0,30.78,-3.23,0,0,0,0
215,0,0,0,29.78,-3.18,0,0,0,0
216,0,0,0,28.78,-3.14,0,0,0,0
217,0,0,0,27.79,-3.09,0,0,0,0
218,0,0,0,26.79,-3.04,0,0,0,0
219,0,0,0,25.79,-2.99,0,0,0,0
220,0,0,0,24.79,-2.94,0,0,0,0
221,0,0,0,23.79,-2.9,0,0,0,0
222,0,0,0,22.79,-2.85,0,0,0,0
223,0,0,0,21.79,-2.8,0,0,0,0
224,0,0,0,20.79,-2.75,0,0,0,0
225,0,0,0,19.8,-2.7,0,0,0,0
226,0,0,0,18.8,-2.66,0,0,0,0
227,0,0,0,17.8,-2.61,0,0,0,0
228,0,0,0,16.8,-2.56,0,0,0,0
229,0,0,0,15.8,-2.51,0,0,0,0
230,0,0,0,14.8,-2.46,0,0,0,0
231,0,0,0,13.8,-2.41,0,0,0,0
232,0,0,0,12.8,-2.37,0,0,0,0
233,0,0,0,11.8,-2.32,0,0,0,0
234,0,0,0,10.81,-2.27,0,0,0,0
235,0,0,0,9.81,-2.22,0,0,0,0
236,0,0,0,8.81,-2.17,0,0,0,0
237,0,0,0,7.81,-2.13,0,0,0,0
238,0,0,0,6.81,-2.08,0,0,0,0
239,0,0,0,5.81,-2.03,0,0,0,0
240,0,0,0,4.81,-1.98,0,0,0,0
241,0,0,0,3.81,-1.93,0,0,0,0
242,0,0,0,2.81,-1.89,0,0,0,0
243,0,0,0,1.82,-1.84,0,0,0,0
