DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
150,110.99,151,0,0,0,0,0,0,0
151,0,153,0,0,0,0,0,0,0
152,1,154,0,0,0,0,0,0,0
153,2,155,0,0,0,0,0,0,0
154,3,156,0,0,0,0,0,0,0
155,4,157,0,0,0,0,0,0,0
156,5,158,0,0,0,0,0,0,0
157,6,159,0,0,0,0,0,0,0
158,7,160,0,0,0,0,0,0,0
159,8,161,0,0,0,0,0,0,0
160,9,162,0,0,0,0,0,0,0
161,10,163,0,0,0,0,0,0,0
162,11,164,0,0,0,0,0,0,0
163,12,165,0,0,0,0,0,0,0
164,13,166,0,0,0,0,0,0,0
165,14,167,0,0,0,0,0,0,0
166,15,168,0,0,0,0,0,0,0
167,16,169,0,0,0,0,0,0,0
168,17,170,0,0,0,0,0,0,0
169,0,172,0,0,0,0,0,0,0
170,1,173,0,0,0,0,0,0,0
171,2,174,0,0,0,0,0,0,0
172,3,175,0,0,0,0,0,0,0
173,4,176,0,0,0,0,0,0,0
174,5,177,0,0,0,0,0,0,0
175,6,178,0,0,0,0,0,0,0
176,7,179,0,0,0,0,0,0,0
177,8,180,0,0,0,0,0,0,0
178,9,181,0,0,0,0,0,0,0
179,10,182,0,0,0,0,0,0,0
180,11,183,0,0,0,0,0,0,0
181,12,184,0,0,0,0,0,0,0
182,13,185,0,0,0,0,0,0,0
183,14,186,0,0,0,0,0,0,0
184,15,187,0,0,0,0,0,0,0
185,16,188,0,0,0,0,0,0,0
186,17,189,0,0,0,0,0,0,0
187,18,190,0,0,0,0,0,0,0
188,19,191,0,0,0,0,0,0,0
189,20,192,0,0,0,0,0,0,0
190,21,193,0,0,0,0,0,0,0
191,22,194,0,0,0,0,0,0,0
192,23,195,0,0,0,0,0,0,0
193,23.27,196,0,0,0,0,0,0,0
194,24.27,197,0,0,0,0,0,0,0
195,25.27,198,0,0,0,0,0,0,0
196,27.26,199,0,0,0,0,0,0,0
197,30.35,200,0,0,0,0,0,0,0
198,31.35,201,0,0,0,0,0,0,0
199,32.35,202,0,0,0,0,0,0,0
200,33.35,203,0,0,0,0,0,0,0
201,34.35,204,0,0,0,0,0,0,0
202,35.35,205,0,0,0,0,0,0,0
203,36.35,206,0,0,0,0,0,0,0
204,37.35,207,0,0,0,0,0,0,0
205,38.35,208,0,0,0,0,0,0,0
206,39.35,209,0,0,0,0,0,0,0
207,40.35,210,0,0,0,0,0,0,0
208,41.35,211,0,0,0,0,0,0,0
209,42.35,212,0,0,0,0,0,0,0
210,43.35,213,0,0,0,0,0,0,0
211,44.35,214,0,0,0,0,0,0,0
212,45.35,215,0,0,0,0,0,0,0
213,46.35,216,0,0,0,0,0,0,0
214,47.35,217,0,0,0,0,0,0,0
215,48.35,218,0,0,0,0,0,0,0
